Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Deliveries_Lag1,Rolling_Mean_3
2023,5,1,2,17646,17922,92874.27,120,704,1863.42,1,12207,9924.959454338765,9923.677407126612
2015,2,0,3,3797,4164,62205.65,75,438,249.46,2,7640,17646.0,9923.677407126612
2019,1,3,3,8411,9189,117887.32,82,480,605.59,1,14071,3797.0,9951.333333333334
2021,2,3,1,6555,7311,89294.91,120,712,700.07,2,9333,8411.0,6254.333333333333
2016,12,2,4,12374,13537,114846.78,120,661,1226.88,0,8722,6555.0,9113.333333333334
2020,4,0,3,4656,5043,86930.57,82,477,333.14,2,5798,12374.0,7861.666666666667
2015,11,0,1,7717,7976,87588.21,82,475,549.84,1,9961,4656.0,8249.0
2020,6,1,0,8410,9192,73815.61,100,592,746.81,2,8216,7717.0,6927.666666666667
2022,4,1,2,15145,15760,69993.86,100,563,1279.0,1,13264,8410.0,10424.0
2021,3,2,4,7790,8208,50591.6,82,485,566.72,1,3383,15145.0,10448.333333333334
2020,11,0,1,8319,9154,117946.76,120,670,836.06,0,10165,7790.0,10418.0
2025,5,0,0,5937,6483,78837.18,82,477,424.79,1,14940,8319.0,7348.666666666667
2020,10,2,2,8724,9355,99200.65,82,453,592.8,0,5325,5937.0,7660.0
2020,11,0,2,10737,11658,78316.37,75,426,686.09,1,5601,8724.0,8466.0
2020,4,3,0,4408,5007,91115.89,120,665,439.7,0,8397,10737.0,7956.333333333333
2025,3,3,0,17079,18904,111739.13,120,682,1747.18,2,3904,4408.0,10741.333333333334
2023,11,1,2,12540,13453,56018.16,100,592,1113.55,1,11616,17079.0,11342.333333333334
2020,7,1,2,16546,17888,97411.05,100,585,1451.91,2,14471,12540.0,15388.333333333334
2017,1,1,2,6472,6810,57769.87,100,590,572.77,0,14372,16546.0,11852.666666666666
2021,1,0,1,7808,8183,102109.35,60,359,420.46,1,8256,6472.0,10275.333333333334
2019,5,2,1,13977,14319,57301.92,75,417,874.26,2,13525,7808.0,9419.0
2016,9,0,2,13993,14982,118537.35,60,349,732.53,1,4515,13977.0,11926.0
2020,1,0,4,11592,12383,90750.14,100,567,985.9,2,4971,13993.0,13187.333333333334
2025,9,3,2,17854,18489,80631.84,60,355,950.73,1,5009,11592.0,14479.666666666666
2022,4,3,2,10056,11163,78773.3,120,681,1027.22,0,7885,17854.0,13167.333333333334
2025,3,2,0,5209,5621,65114.79,100,594,464.12,0,4024,10056.0,11039.666666666666
2016,12,3,0,5224,5657,87919.34,100,588,460.76,0,13003,5209.0,6829.666666666667
2022,5,1,1,12541,13898,56168.86,120,710,1335.62,2,11787,5224.0,7658.0
2017,6,3,3,6312,6933,117797.61,75,435,411.86,1,3923,12541.0,8025.666666666667
2023,11,3,2,12717,12755,96953.2,60,344,656.2,0,7161,6312.0,10523.333333333334
2016,10,0,2,16449,17908,99184.36,82,460,1134.98,2,9148,12717.0,11826.0
2024,1,2,3,15387,16070,88150.59,100,561,1294.82,2,8327,16449.0,14851.0
2020,9,2,2,9326,10117,100029.16,100,596,833.74,2,13947,15387.0,13720.666666666666
2023,5,2,0,11531,12204,85790.7,60,357,617.49,0,13491,9326.0,12081.333333333334
2024,1,3,1,3819,4249,91284.57,82,482,276.11,2,8146,11531.0,8225.333333333334
2015,3,2,1,1899,2125,68958.26,60,343,97.7,0,3941,3819.0,5749.666666666667
2023,3,1,2,17330,18767,67727.18,82,490,1273.75,0,3343,1899.0,7682.666666666667
2019,8,0,4,15165,16539,94101.31,60,342,777.96,1,4731,17330.0,11464.666666666666
2017,12,1,2,13031,13160,51340.88,60,354,691.95,2,9296,15165.0,15175.333333333334
2023,6,1,2,13583,14019,55191.14,100,594,1210.25,0,13172,13031.0,13926.333333333334
